finding_type,finding_subtype,severity,policy_a,policy_b,description,explanation,policy_a_title,policy_a_department,policy_a_author,policy_a_version,policy_a_last_reviewed,policy_a_status,policy_b_title,policy_b_department,policy_b_author,policy_b_version,policy_b_last_reviewed,policy_b_status,policy,policy_title,policy_department,policy_author,policy_version,policy_last_reviewed,policy_status
CONFLICT,DIRECT_CONFLICT,HIGH,policy_05.md,policy_26.md,Direct contradiction between policy_05.md and policy_26.md on vendor.,"policy_05.md requires X, but policy_26.md prohibits X.",Data Retention Policy,Infrastructure,Ava Johnson,v3.5,2022-09-22,active,Business Continuity Policy,Engineering,Ava Johnson,v3.0,2026-01-30,active,,,,,,,
CONFLICT,DIRECT_CONFLICT,HIGH,policy_02.md,policy_07.md,Direct contradiction between policy_02.md and policy_07.md on HR.,"policy_02.md requires X, but policy_07.md prohibits X.",Cloud Security Policy,Sales,Priya Nair,v2.2,2022-07-15,active,Encryption Policy,Infrastructure,Daniel Kim,v3.3,2023-04-07,active,,,,,,,
CONFLICT,DIRECT_CONFLICT,HIGH,policy_05.md,policy_23.md,Direct contradiction between policy_05.md and policy_23.md on HR.,"policy_05.md requires X, but policy_23.md prohibits X.",Data Retention Policy,Infrastructure,Ava Johnson,v3.5,2022-09-22,active,Patch Management Policy,Compliance,Ava Johnson,v2.3,2025-12-24,draft,,,,,,,
CONFLICT,DIRECT_CONFLICT,HIGH,policy_29.md,policy_28.md,Direct contradiction between policy_29.md and policy_28.md on asset.,"policy_29.md requires X, but policy_28.md prohibits X.",Endpoint Security Policy,Compliance,Alex Morgan,v1.3,2025-07-26,active,Awareness Training Policy,Legal,Sophia Chen,v2.0,2025-08-03,retired,,,,,,,
CONFLICT,DIRECT_CONFLICT,HIGH,policy_12.md,policy_24.md,Direct contradiction between policy_12.md and policy_24.md on data retention.,"policy_12.md requires X, but policy_24.md prohibits X.",Mobile Device Policy,IT Security,Fatima Noor,v3.2,2025-10-09,retired,HR Security Policy,Compliance,Daniel Kim,v1.2,2025-11-04,retired,,,,,,,
CONFLICT,DIRECT_CONFLICT,HIGH,policy_30.md,policy_09.md,Direct contradiction between policy_30.md and policy_09.md on logging.,"policy_30.md requires X, but policy_09.md prohibits X.",API Security Policy,Infrastructure,Alex Morgan,v1.2,2025-03-16,retired,Incident Response Policy,Compliance,Noah Patel,v2.3,2025-12-12,retired,,,,,,,
CONFLICT,DIRECT_CONFLICT,HIGH,policy_28.md,policy_03.md,Direct contradiction between policy_28.md and policy_03.md on network.,"policy_28.md requires X, but policy_03.md prohibits X.",Awareness Training Policy,Legal,Sophia Chen,v2.0,2025-08-03,retired,Data Classification Policy,Compliance,Ava Johnson,v3.4,2024-02-19,active,,,,,,,
CONFLICT,DIRECT_CONFLICT,HIGH,policy_24.md,policy_12.md,Direct contradiction between policy_24.md and policy_12.md on encryption.,"policy_24.md requires X, but policy_12.md prohibits X.",HR Security Policy,Compliance,Daniel Kim,v1.2,2025-11-04,retired,Mobile Device Policy,IT Security,Fatima Noor,v3.2,2025-10-09,retired,,,,,,,
CONFLICT,DIRECT_CONFLICT,HIGH,policy_04.md,policy_10.md,Direct contradiction between policy_04.md and policy_10.md on vendor.,"policy_04.md requires X, but policy_10.md prohibits X.",Acceptable Use Policy,HR,Mia Gonzalez,v3.1,2024-03-20,active,Vendor Management Policy,Operations,Ethan Walker,v2.3,2024-12-07,active,,,,,,,
CONFLICT,DIRECT_CONFLICT,HIGH,policy_06.md,policy_19.md,Direct contradiction between policy_06.md and policy_19.md on data retention.,"policy_06.md requires X, but policy_19.md prohibits X.",Network Security Policy,Operations,Noah Patel,v3.0,2022-12-15,active,User Provisioning Policy,Infrastructure,Daniel Kim,v1.5,2025-01-18,retired,,,,,,,
CONFLICT,DIRECT_CONFLICT,HIGH,policy_09.md,policy_17.md,Direct contradiction between policy_09.md and policy_17.md on provisioning.,"policy_09.md requires X, but policy_17.md prohibits X.",Incident Response Policy,Compliance,Noah Patel,v2.3,2025-12-12,retired,Privacy Policy,HR,Liam Carter,v1.4,2026-01-31,retired,,,,,,,
CONFLICT,DIRECT_CONFLICT,HIGH,policy_18.md,policy_27.md,Direct contradiction between policy_18.md and policy_27.md on patch.,"policy_18.md requires X, but policy_27.md prohibits X.",Third-Party Risk Policy,HR,Fatima Noor,v1.4,2024-11-06,retired,Disaster Recovery Policy,Operations,Ethan Walker,v1.4,2025-10-03,draft,,,,,,,
CONFLICT,DIRECT_CONFLICT,HIGH,policy_15.md,policy_25.md,Direct contradiction between policy_15.md and policy_25.md on provisioning.,"policy_15.md requires X, but policy_25.md prohibits X.",Backup & Recovery Policy,Compliance,Noah Patel,v2.4,2025-04-01,draft,Legal Compliance Policy,Operations,Alex Morgan,v3.5,2025-07-22,active,,,,,,,
CONFLICT,DIRECT_CONFLICT,HIGH,policy_09.md,policy_03.md,Direct contradiction between policy_09.md and policy_03.md on access.,"policy_09.md requires X, but policy_03.md prohibits X.",Incident Response Policy,Compliance,Noah Patel,v2.3,2025-12-12,retired,Data Classification Policy,Compliance,Ava Johnson,v3.4,2024-02-19,active,,,,,,,
CONFLICT,DIRECT_CONFLICT,HIGH,policy_21.md,policy_08.md,Direct contradiction between policy_21.md and policy_08.md on password.,"policy_21.md requires X, but policy_08.md prohibits X.",Logging Policy,Infrastructure,Priya Nair,v1.0,2025-05-02,retired,Access Control Policy,Support,Alex Morgan,v3.2,2023-01-23,active,,,,,,,
CONFLICT,PARTIAL_CONFLICT,MEDIUM,policy_03.md,policy_30.md,Scope-dependent contradiction between policy_03.md and policy_30.md on backup.,"policy_03.md applies to all users, policy_30.md to admins only.",Data Classification Policy,Compliance,Ava Johnson,v3.4,2024-02-19,active,API Security Policy,Infrastructure,Alex Morgan,v1.2,2025-03-16,retired,,,,,,,
CONFLICT,PARTIAL_CONFLICT,MEDIUM,policy_25.md,policy_30.md,Scope-dependent contradiction between policy_25.md and policy_30.md on provisioning.,"policy_25.md applies to all users, policy_30.md to admins only.",Legal Compliance Policy,Operations,Alex Morgan,v3.5,2025-07-22,active,API Security Policy,Infrastructure,Alex Morgan,v1.2,2025-03-16,retired,,,,,,,
CONFLICT,PARTIAL_CONFLICT,MEDIUM,policy_06.md,policy_11.md,Scope-dependent contradiction between policy_06.md and policy_11.md on api.,"policy_06.md applies to all users, policy_11.md to admins only.",Network Security Policy,Operations,Noah Patel,v3.0,2022-12-15,active,Remote Work Policy,Product,Daniel Kim,v3.2,2025-06-02,draft,,,,,,,
CONFLICT,PARTIAL_CONFLICT,MEDIUM,policy_19.md,policy_04.md,Scope-dependent contradiction between policy_19.md and policy_04.md on backup.,"policy_19.md applies to all users, policy_04.md to admins only.",User Provisioning Policy,Infrastructure,Daniel Kim,v1.5,2025-01-18,retired,Acceptable Use Policy,HR,Mia Gonzalez,v3.1,2024-03-20,active,,,,,,,
CONFLICT,PARTIAL_CONFLICT,MEDIUM,policy_16.md,policy_26.md,Scope-dependent contradiction between policy_16.md and policy_26.md on endpoint.,"policy_16.md applies to all users, policy_26.md to admins only.",Asset Management Policy,Operations,Ethan Walker,v3.4,2025-01-13,active,Business Continuity Policy,Engineering,Ava Johnson,v3.0,2026-01-30,active,,,,,,,
CONFLICT,PARTIAL_CONFLICT,MEDIUM,policy_15.md,policy_12.md,Scope-dependent contradiction between policy_15.md and policy_12.md on endpoint.,"policy_15.md applies to all users, policy_12.md to admins only.",Backup & Recovery Policy,Compliance,Noah Patel,v2.4,2025-04-01,draft,Mobile Device Policy,IT Security,Fatima Noor,v3.2,2025-10-09,retired,,,,,,,
CONFLICT,PARTIAL_CONFLICT,MEDIUM,policy_28.md,policy_16.md,Scope-dependent contradiction between policy_28.md and policy_16.md on asset.,"policy_28.md applies to all users, policy_16.md to admins only.",Awareness Training Policy,Legal,Sophia Chen,v2.0,2025-08-03,retired,Asset Management Policy,Operations,Ethan Walker,v3.4,2025-01-13,active,,,,,,,
CONFLICT,PARTIAL_CONFLICT,MEDIUM,policy_02.md,policy_07.md,Scope-dependent contradiction between policy_02.md and policy_07.md on logging.,"policy_02.md applies to all users, policy_07.md to admins only.",Cloud Security Policy,Sales,Priya Nair,v2.2,2022-07-15,active,Encryption Policy,Infrastructure,Daniel Kim,v3.3,2023-04-07,active,,,,,,,
CONFLICT,PARTIAL_CONFLICT,MEDIUM,policy_16.md,policy_22.md,Scope-dependent contradiction between policy_16.md and policy_22.md on password.,"policy_16.md applies to all users, policy_22.md to admins only.",Asset Management Policy,Operations,Ethan Walker,v3.4,2025-01-13,active,Vulnerability Management Policy,Operations,Priya Nair,v2.1,2025-11-17,retired,,,,,,,
CONFLICT,PARTIAL_CONFLICT,MEDIUM,policy_15.md,policy_25.md,Scope-dependent contradiction between policy_15.md and policy_25.md on patch.,"policy_15.md applies to all users, policy_25.md to admins only.",Backup & Recovery Policy,Compliance,Noah Patel,v2.4,2025-04-01,draft,Legal Compliance Policy,Operations,Alex Morgan,v3.5,2025-07-22,active,,,,,,,
REDUNDANCY,REDUNDANCY,LOW,policy_13.md,policy_18.md,Duplicate or near-duplicate obligations in policy_13.md and policy_18.md.,Both require the same action on encryption.,Physical Security Policy,Legal,Priya Nair,v2.0,2025-08-12,draft,Third-Party Risk Policy,HR,Fatima Noor,v1.4,2024-11-06,retired,,,,,,,
REDUNDANCY,REDUNDANCY,LOW,policy_10.md,policy_06.md,Duplicate or near-duplicate obligations in policy_10.md and policy_06.md.,Both require the same action on encryption.,Vendor Management Policy,Operations,Ethan Walker,v2.3,2024-12-07,active,Network Security Policy,Operations,Noah Patel,v3.0,2022-12-15,active,,,,,,,
REDUNDANCY,REDUNDANCY,LOW,policy_06.md,policy_13.md,Duplicate or near-duplicate obligations in policy_06.md and policy_13.md.,Both require the same action on cloud.,Network Security Policy,Operations,Noah Patel,v3.0,2022-12-15,active,Physical Security Policy,Legal,Priya Nair,v2.0,2025-08-12,draft,,,,,,,
REDUNDANCY,REDUNDANCY,LOW,policy_01.md,policy_08.md,Duplicate or near-duplicate obligations in policy_01.md and policy_08.md.,Both require the same action on change.,Password Policy,Product,Ava Johnson,v2.3,2023-03-28,active,Access Control Policy,Support,Alex Morgan,v3.2,2023-01-23,active,,,,,,,
REDUNDANCY,REDUNDANCY,LOW,policy_26.md,policy_16.md,Duplicate or near-duplicate obligations in policy_26.md and policy_16.md.,Both require the same action on endpoint.,Business Continuity Policy,Engineering,Ava Johnson,v3.0,2026-01-30,active,Asset Management Policy,Operations,Ethan Walker,v3.4,2025-01-13,active,,,,,,,
REDUNDANCY,REDUNDANCY,LOW,policy_21.md,policy_03.md,Duplicate or near-duplicate obligations in policy_21.md and policy_03.md.,Both require the same action on asset.,Logging Policy,Infrastructure,Priya Nair,v1.0,2025-05-02,retired,Data Classification Policy,Compliance,Ava Johnson,v3.4,2024-02-19,active,,,,,,,
REDUNDANCY,REDUNDANCY,LOW,policy_01.md,policy_06.md,Duplicate or near-duplicate obligations in policy_01.md and policy_06.md.,Both require the same action on vendor.,Password Policy,Product,Ava Johnson,v2.3,2023-03-28,active,Network Security Policy,Operations,Noah Patel,v3.0,2022-12-15,active,,,,,,,
REDUNDANCY,REDUNDANCY,LOW,policy_01.md,policy_06.md,Duplicate or near-duplicate obligations in policy_01.md and policy_06.md.,Both require the same action on backup.,Password Policy,Product,Ava Johnson,v2.3,2023-03-28,active,Network Security Policy,Operations,Noah Patel,v3.0,2022-12-15,active,,,,,,,
REDUNDANCY,REDUNDANCY,LOW,policy_02.md,policy_11.md,Duplicate or near-duplicate obligations in policy_02.md and policy_11.md.,Both require the same action on privacy.,Cloud Security Policy,Sales,Priya Nair,v2.2,2022-07-15,active,Remote Work Policy,Product,Daniel Kim,v3.2,2025-06-02,draft,,,,,,,
REDUNDANCY,REDUNDANCY,LOW,policy_28.md,policy_20.md,Duplicate or near-duplicate obligations in policy_28.md and policy_20.md.,Both require the same action on monitoring.,Awareness Training Policy,Legal,Sophia Chen,v2.0,2025-08-03,retired,Monitoring Policy,Finance,Liam Carter,v3.2,2025-07-31,draft,,,,,,,
REDUNDANCY,REDUNDANCY,LOW,policy_12.md,policy_23.md,Duplicate or near-duplicate obligations in policy_12.md and policy_23.md.,Both require the same action on third-party.,Mobile Device Policy,IT Security,Fatima Noor,v3.2,2025-10-09,retired,Patch Management Policy,Compliance,Ava Johnson,v2.3,2025-12-24,draft,,,,,,,
REDUNDANCY,REDUNDANCY,LOW,policy_09.md,policy_20.md,Duplicate or near-duplicate obligations in policy_09.md and policy_20.md.,Both require the same action on vendor.,Incident Response Policy,Compliance,Noah Patel,v2.3,2025-12-12,retired,Monitoring Policy,Finance,Liam Carter,v3.2,2025-07-31,draft,,,,,,,
REDUNDANCY,REDUNDANCY,LOW,policy_06.md,policy_12.md,Duplicate or near-duplicate obligations in policy_06.md and policy_12.md.,Both require the same action on logging.,Network Security Policy,Operations,Noah Patel,v3.0,2022-12-15,active,Mobile Device Policy,IT Security,Fatima Noor,v3.2,2025-10-09,retired,,,,,,,
REDUNDANCY,REDUNDANCY,LOW,policy_29.md,policy_19.md,Duplicate or near-duplicate obligations in policy_29.md and policy_19.md.,Both require the same action on patch.,Endpoint Security Policy,Compliance,Alex Morgan,v1.3,2025-07-26,active,User Provisioning Policy,Infrastructure,Daniel Kim,v1.5,2025-01-18,retired,,,,,,,
REDUNDANCY,REDUNDANCY,LOW,policy_20.md,policy_14.md,Duplicate or near-duplicate obligations in policy_20.md and policy_14.md.,Both require the same action on change.,Monitoring Policy,Finance,Liam Carter,v3.2,2025-07-31,draft,Change Management Policy,Support,Daniel Kim,v2.0,2025-02-24,active,,,,,,,
REDUNDANCY,REDUNDANCY,LOW,policy_18.md,policy_19.md,Duplicate or near-duplicate obligations in policy_18.md and policy_19.md.,Both require the same action on asset.,Third-Party Risk Policy,HR,Fatima Noor,v1.4,2024-11-06,retired,User Provisioning Policy,Infrastructure,Daniel Kim,v1.5,2025-01-18,retired,,,,,,,
REDUNDANCY,REDUNDANCY,LOW,policy_09.md,policy_11.md,Duplicate or near-duplicate obligations in policy_09.md and policy_11.md.,Both require the same action on third-party.,Incident Response Policy,Compliance,Noah Patel,v2.3,2025-12-12,retired,Remote Work Policy,Product,Daniel Kim,v3.2,2025-06-02,draft,,,,,,,
REDUNDANCY,REDUNDANCY,LOW,policy_08.md,policy_22.md,Duplicate or near-duplicate obligations in policy_08.md and policy_22.md.,Both require the same action on endpoint.,Access Control Policy,Support,Alex Morgan,v3.2,2023-01-23,active,Vulnerability Management Policy,Operations,Priya Nair,v2.1,2025-11-17,retired,,,,,,,
REDUNDANCY,REDUNDANCY,LOW,policy_28.md,policy_29.md,Duplicate or near-duplicate obligations in policy_28.md and policy_29.md.,Both require the same action on network.,Awareness Training Policy,Legal,Sophia Chen,v2.0,2025-08-03,retired,Endpoint Security Policy,Compliance,Alex Morgan,v1.3,2025-07-26,active,,,,,,,
REDUNDANCY,REDUNDANCY,LOW,policy_15.md,policy_17.md,Duplicate or near-duplicate obligations in policy_15.md and policy_17.md.,Both require the same action on monitoring.,Backup & Recovery Policy,Compliance,Noah Patel,v2.4,2025-04-01,draft,Privacy Policy,HR,Liam Carter,v1.4,2026-01-31,retired,,,,,,,
STALE,STALE_POLICY,MEDIUM,,,policy_30.md not reviewed in 18+ months.,Last review date is stale.,,,,,,,,,,,,,policy_30.md,API Security Policy,Infrastructure,Alex Morgan,v1.2,2025-03-16,retired
STALE,STALE_POLICY,MEDIUM,,,policy_10.md not reviewed in 18+ months.,Last review date is stale.,,,,,,,,,,,,,policy_10.md,Vendor Management Policy,Operations,Ethan Walker,v2.3,2024-12-07,active
STALE,STALE_POLICY,MEDIUM,,,policy_25.md not reviewed in 18+ months.,Last review date is stale.,,,,,,,,,,,,,policy_25.md,Legal Compliance Policy,Operations,Alex Morgan,v3.5,2025-07-22,active
STALE,STALE_POLICY,MEDIUM,,,policy_06.md not reviewed in 18+ months.,Last review date is stale.,,,,,,,,,,,,,policy_06.md,Network Security Policy,Operations,Noah Patel,v3.0,2022-12-15,active
STALE,STALE_POLICY,MEDIUM,,,policy_30.md not reviewed in 18+ months.,Last review date is stale.,,,,,,,,,,,,,policy_30.md,API Security Policy,Infrastructure,Alex Morgan,v1.2,2025-03-16,retired
STALE,STALE_POLICY,MEDIUM,,,policy_24.md not reviewed in 18+ months.,Last review date is stale.,,,,,,,,,,,,,policy_24.md,HR Security Policy,Compliance,Daniel Kim,v1.2,2025-11-04,retired
STALE,STALE_POLICY,MEDIUM,,,policy_11.md not reviewed in 18+ months.,Last review date is stale.,,,,,,,,,,,,,policy_11.md,Remote Work Policy,Product,Daniel Kim,v3.2,2025-06-02,draft
STALE,STALE_POLICY,MEDIUM,,,policy_08.md not reviewed in 18+ months.,Last review date is stale.,,,,,,,,,,,,,policy_08.md,Access Control Policy,Support,Alex Morgan,v3.2,2023-01-23,active
STALE,STALE_POLICY,MEDIUM,,,policy_18.md not reviewed in 18+ months.,Last review date is stale.,,,,,,,,,,,,,policy_18.md,Third-Party Risk Policy,HR,Fatima Noor,v1.4,2024-11-06,retired
STALE,STALE_POLICY,MEDIUM,,,policy_19.md not reviewed in 18+ months.,Last review date is stale.,,,,,,,,,,,,,policy_19.md,User Provisioning Policy,Infrastructure,Daniel Kim,v1.5,2025-01-18,retired
STALE,STALE_POLICY,MEDIUM,,,policy_13.md not reviewed in 18+ months.,Last review date is stale.,,,,,,,,,,,,,policy_13.md,Physical Security Policy,Legal,Priya Nair,v2.0,2025-08-12,draft
STALE,STALE_POLICY,MEDIUM,,,policy_06.md not reviewed in 18+ months.,Last review date is stale.,,,,,,,,,,,,,policy_06.md,Network Security Policy,Operations,Noah Patel,v3.0,2022-12-15,active
STALE,STALE_REFERENCE,LOW,,,policy_23.md references deprecated technology or regulation.,Mentions WEP.,,,,,,,,,,,,,policy_23.md,Patch Management Policy,Compliance,Ava Johnson,v2.3,2025-12-24,draft
STALE,STALE_REFERENCE,LOW,,,policy_10.md references deprecated technology or regulation.,Mentions SHA-1.,,,,,,,,,,,,,policy_10.md,Vendor Management Policy,Operations,Ethan Walker,v2.3,2024-12-07,active
STALE,STALE_REFERENCE,LOW,,,policy_21.md references deprecated technology or regulation.,Mentions TLS 1.0.,,,,,,,,,,,,,policy_21.md,Logging Policy,Infrastructure,Priya Nair,v1.0,2025-05-02,retired
STALE,STALE_REFERENCE,LOW,,,policy_12.md references deprecated technology or regulation.,Mentions GDPR 2016.,,,,,,,,,,,,,policy_12.md,Mobile Device Policy,IT Security,Fatima Noor,v3.2,2025-10-09,retired
STALE,STALE_REFERENCE,LOW,,,policy_18.md references deprecated technology or regulation.,Mentions SHA-1.,,,,,,,,,,,,,policy_18.md,Third-Party Risk Policy,HR,Fatima Noor,v1.4,2024-11-06,retired
STALE,STALE_REFERENCE,LOW,,,policy_16.md references deprecated technology or regulation.,Mentions SOX 2002.,,,,,,,,,,,,,policy_16.md,Asset Management Policy,Operations,Ethan Walker,v3.4,2025-01-13,active
STALE,STALE_REFERENCE,LOW,,,policy_21.md references deprecated technology or regulation.,Mentions NIST SP 800-53 Rev 4.,,,,,,,,,,,,,policy_21.md,Logging Policy,Infrastructure,Priya Nair,v1.0,2025-05-02,retired
STALE,STALE_REFERENCE,LOW,,,policy_22.md references deprecated technology or regulation.,Mentions TLS 1.0.,,,,,,,,,,,,,policy_22.md,Vulnerability Management Policy,Operations,Priya Nair,v2.1,2025-11-17,retired
CONFLICT,FALSE_POSITIVE_PRONE,LOW,policy_22.md,policy_16.md,"Apparent conflict between policy_22.md and policy_16.md, but different scopes.","Appears conflicting, but applies to different user groups.",Vulnerability Management Policy,Operations,Priya Nair,v2.1,2025-11-17,retired,Asset Management Policy,Operations,Ethan Walker,v3.4,2025-01-13,active,,,,,,,
CONFLICT,FALSE_POSITIVE_PRONE,LOW,policy_13.md,policy_09.md,"Apparent conflict between policy_13.md and policy_09.md, but different scopes.","Appears conflicting, but applies to different user groups.",Physical Security Policy,Legal,Priya Nair,v2.0,2025-08-12,draft,Incident Response Policy,Compliance,Noah Patel,v2.3,2025-12-12,retired,,,,,,,
CONFLICT,FALSE_POSITIVE_PRONE,LOW,policy_16.md,policy_19.md,"Apparent conflict between policy_16.md and policy_19.md, but different scopes.","Appears conflicting, but applies to different user groups.",Asset Management Policy,Operations,Ethan Walker,v3.4,2025-01-13,active,User Provisioning Policy,Infrastructure,Daniel Kim,v1.5,2025-01-18,retired,,,,,,,
CONFLICT,FALSE_POSITIVE_PRONE,LOW,policy_28.md,policy_21.md,"Apparent conflict between policy_28.md and policy_21.md, but different scopes.","Appears conflicting, but applies to different user groups.",Awareness Training Policy,Legal,Sophia Chen,v2.0,2025-08-03,retired,Logging Policy,Infrastructure,Priya Nair,v1.0,2025-05-02,retired,,,,,,,
CONFLICT,FALSE_POSITIVE_PRONE,LOW,policy_19.md,policy_15.md,"Apparent conflict between policy_19.md and policy_15.md, but different scopes.","Appears conflicting, but applies to different user groups.",User Provisioning Policy,Infrastructure,Daniel Kim,v1.5,2025-01-18,retired,Backup & Recovery Policy,Compliance,Noah Patel,v2.4,2025-04-01,draft,,,,,,,
CONFLICT,FALSE_POSITIVE_PRONE,LOW,policy_02.md,policy_03.md,"Apparent conflict between policy_02.md and policy_03.md, but different scopes.","Appears conflicting, but applies to different user groups.",Cloud Security Policy,Sales,Priya Nair,v2.2,2022-07-15,active,Data Classification Policy,Compliance,Ava Johnson,v3.4,2024-02-19,active,,,,,,,
CONFLICT,FALSE_POSITIVE_PRONE,LOW,policy_11.md,policy_16.md,"Apparent conflict between policy_11.md and policy_16.md, but different scopes.","Appears conflicting, but applies to different user groups.",Remote Work Policy,Product,Daniel Kim,v3.2,2025-06-02,draft,Asset Management Policy,Operations,Ethan Walker,v3.4,2025-01-13,active,,,,,,,
CONFLICT,FALSE_POSITIVE_PRONE,LOW,policy_21.md,policy_16.md,"Apparent conflict between policy_21.md and policy_16.md, but different scopes.","Appears conflicting, but applies to different user groups.",Logging Policy,Infrastructure,Priya Nair,v1.0,2025-05-02,retired,Asset Management Policy,Operations,Ethan Walker,v3.4,2025-01-13,active,,,,,,,
CONFLICT,FALSE_POSITIVE_PRONE,LOW,policy_02.md,policy_21.md,"Apparent conflict between policy_02.md and policy_21.md, but different scopes.","Appears conflicting, but applies to different user groups.",Cloud Security Policy,Sales,Priya Nair,v2.2,2022-07-15,active,Logging Policy,Infrastructure,Priya Nair,v1.0,2025-05-02,retired,,,,,,,
CONFLICT,FALSE_POSITIVE_PRONE,LOW,policy_05.md,policy_01.md,"Apparent conflict between policy_05.md and policy_01.md, but different scopes.","Appears conflicting, but applies to different user groups.",Data Retention Policy,Infrastructure,Ava Johnson,v3.5,2022-09-22,active,Password Policy,Product,Ava Johnson,v2.3,2023-03-28,active,,,,,,,
CONFLICT,FALSE_POSITIVE_PRONE,LOW,policy_09.md,policy_18.md,"Apparent conflict between policy_09.md and policy_18.md, but different scopes.","Appears conflicting, but applies to different user groups.",Incident Response Policy,Compliance,Noah Patel,v2.3,2025-12-12,retired,Third-Party Risk Policy,HR,Fatima Noor,v1.4,2024-11-06,retired,,,,,,,
CONFLICT,FALSE_POSITIVE_PRONE,LOW,policy_15.md,policy_02.md,"Apparent conflict between policy_15.md and policy_02.md, but different scopes.","Appears conflicting, but applies to different user groups.",Backup & Recovery Policy,Compliance,Noah Patel,v2.4,2025-04-01,draft,Cloud Security Policy,Sales,Priya Nair,v2.2,2022-07-15,active,,,,,,,
CONFLICT,FALSE_POSITIVE_PRONE,LOW,policy_03.md,policy_09.md,"Apparent conflict between policy_03.md and policy_09.md, but different scopes.","Appears conflicting, but applies to different user groups.",Data Classification Policy,Compliance,Ava Johnson,v3.4,2024-02-19,active,Incident Response Policy,Compliance,Noah Patel,v2.3,2025-12-12,retired,,,,,,,
CONFLICT,FALSE_POSITIVE_PRONE,LOW,policy_26.md,policy_02.md,"Apparent conflict between policy_26.md and policy_02.md, but different scopes.","Appears conflicting, but applies to different user groups.",Business Continuity Policy,Engineering,Ava Johnson,v3.0,2026-01-30,active,Cloud Security Policy,Sales,Priya Nair,v2.2,2022-07-15,active,,,,,,,
CONFLICT,FALSE_POSITIVE_PRONE,LOW,policy_08.md,policy_19.md,"Apparent conflict between policy_08.md and policy_19.md, but different scopes.","Appears conflicting, but applies to different user groups.",Access Control Policy,Support,Alex Morgan,v3.2,2023-01-23,active,User Provisioning Policy,Infrastructure,Daniel Kim,v1.5,2025-01-18,retired,,,,,,,
