policy_file,obligation_text,topic,strength,scope,policy_title,policy_department,policy_author,policy_version,policy_last_reviewed,policy_status
policy_26.md,Developers must patch. (Reference: DES),patch,must,developers,Business Continuity Policy,Engineering,Ava Johnson,v3.0,2026-01-30,active
policy_27.md,Contractors required asset.,asset,required,contractors,Disaster Recovery Policy,Operations,Ethan Walker,v1.4,2025-10-03,draft
policy_28.md,Admins shall vendor.,vendor,shall,admins,Awareness Training Policy,Legal,Sophia Chen,v2.0,2025-08-03,retired
policy_29.md,Employees must physical.,physical,must,employees,Endpoint Security Policy,Compliance,Alex Morgan,v1.3,2025-07-26,active
policy_30.md,Employees must third-party.,third-party,must,employees,API Security Policy,Infrastructure,Alex Morgan,v1.2,2025-03-16,retired
policy_01.md,All Users shall api.,api,shall,all users,Password Policy,Product,Ava Johnson,v2.3,2023-03-28,active
policy_02.md,Contractors required provisioning. (Reference: SOX 2002),provisioning,required,contractors,Cloud Security Policy,Sales,Priya Nair,v2.2,2022-07-15,active
policy_03.md,Developers required vendor.,vendor,required,developers,Data Classification Policy,Compliance,Ava Johnson,v3.4,2024-02-19,active
policy_04.md,Developers shall asset. (Reference: FTP),asset,shall,developers,Acceptable Use Policy,HR,Mia Gonzalez,v3.1,2024-03-20,active
policy_05.md,Employees recommended privacy. (Reference: GDPR 2016),privacy,recommended,employees,Data Retention Policy,Infrastructure,Ava Johnson,v3.5,2022-09-22,active
policy_06.md,Admins must HR.,HR,must,admins,Network Security Policy,Operations,Noah Patel,v3.0,2022-12-15,active
policy_07.md,Employees must monitoring.,monitoring,must,employees,Encryption Policy,Infrastructure,Daniel Kim,v3.3,2023-04-07,active
policy_08.md,Contractors must network. (Reference: SHA-1),network,must,contractors,Access Control Policy,Support,Alex Morgan,v3.2,2023-01-23,active
policy_09.md,Admins must backup.,backup,must,admins,Incident Response Policy,Compliance,Noah Patel,v2.3,2025-12-12,retired
policy_10.md,Developers must physical.,physical,must,developers,Vendor Management Policy,Operations,Ethan Walker,v2.3,2024-12-07,active
policy_11.md,All Users must third-party.,third-party,must,all users,Remote Work Policy,Product,Daniel Kim,v3.2,2025-06-02,draft
policy_12.md,Contractors should cloud.,cloud,should,contractors,Mobile Device Policy,IT Security,Fatima Noor,v3.2,2025-10-09,retired
policy_13.md,Admins should cloud.,cloud,should,admins,Physical Security Policy,Legal,Priya Nair,v2.0,2025-08-12,draft
policy_14.md,Contractors recommended vendor.,vendor,recommended,contractors,Change Management Policy,Support,Daniel Kim,v2.0,2025-02-24,active
policy_15.md,Developers recommended privacy.,privacy,recommended,developers,Backup & Recovery Policy,Compliance,Noah Patel,v2.4,2025-04-01,draft
policy_16.md,Employees shall cloud.,cloud,shall,employees,Asset Management Policy,Operations,Ethan Walker,v3.4,2025-01-13,active
policy_17.md,All Users prohibited patch.,patch,prohibited,all users,Privacy Policy,HR,Liam Carter,v1.4,2026-01-31,retired
policy_18.md,Contractors required data retention.,data retention,required,contractors,Third-Party Risk Policy,HR,Fatima Noor,v1.4,2024-11-06,retired
policy_19.md,Employees required mobile. (Reference: SHA-1),mobile,required,employees,User Provisioning Policy,Infrastructure,Daniel Kim,v1.5,2025-01-18,retired
policy_20.md,Admins required mobile.,mobile,required,admins,Monitoring Policy,Finance,Liam Carter,v3.2,2025-07-31,draft
policy_21.md,Contractors recommended access.,access,recommended,contractors,Logging Policy,Infrastructure,Priya Nair,v1.0,2025-05-02,retired
policy_22.md,Contractors prohibited endpoint.,endpoint,prohibited,contractors,Vulnerability Management Policy,Operations,Priya Nair,v2.1,2025-11-17,retired
policy_23.md,All Users must provisioning.,provisioning,must,all users,Patch Management Policy,Compliance,Ava Johnson,v2.3,2025-12-24,draft
policy_24.md,Admins shall change.,change,shall,admins,HR Security Policy,Compliance,Daniel Kim,v1.2,2025-11-04,retired
policy_25.md,Contractors must backup.,backup,must,contractors,Legal Compliance Policy,Operations,Alex Morgan,v3.5,2025-07-22,active
policy_26.md,Admins recommended access.,access,recommended,admins,Business Continuity Policy,Engineering,Ava Johnson,v3.0,2026-01-30,active
policy_27.md,Employees prohibited third-party.,third-party,prohibited,employees,Disaster Recovery Policy,Operations,Ethan Walker,v1.4,2025-10-03,draft
policy_28.md,Admins shall endpoint.,endpoint,shall,admins,Awareness Training Policy,Legal,Sophia Chen,v2.0,2025-08-03,retired
policy_29.md,Contractors prohibited mobile.,mobile,prohibited,contractors,Endpoint Security Policy,Compliance,Alex Morgan,v1.3,2025-07-26,active
policy_30.md,Contractors recommended asset.,asset,recommended,contractors,API Security Policy,Infrastructure,Alex Morgan,v1.2,2025-03-16,retired
policy_01.md,Developers recommended password.,password,recommended,developers,Password Policy,Product,Ava Johnson,v2.3,2023-03-28,active
policy_02.md,Employees required change.,change,required,employees,Cloud Security Policy,Sales,Priya Nair,v2.2,2022-07-15,active
policy_03.md,Admins prohibited privacy.,privacy,prohibited,admins,Data Classification Policy,Compliance,Ava Johnson,v3.4,2024-02-19,active
policy_04.md,All Users should data retention.,data retention,should,all users,Acceptable Use Policy,HR,Mia Gonzalez,v3.1,2024-03-20,active
policy_05.md,Employees prohibited data retention. (Reference: Windows Server 2012),data retention,prohibited,employees,Data Retention Policy,Infrastructure,Ava Johnson,v3.5,2022-09-22,active
policy_06.md,Developers recommended password.,password,recommended,developers,Network Security Policy,Operations,Noah Patel,v3.0,2022-12-15,active
policy_07.md,Employees must mobile.,mobile,must,employees,Encryption Policy,Infrastructure,Daniel Kim,v3.3,2023-04-07,active
policy_08.md,Admins shall mobile.,mobile,shall,admins,Access Control Policy,Support,Alex Morgan,v3.2,2023-01-23,active
policy_09.md,Developers recommended third-party. (Reference: TLS 1.0),third-party,recommended,developers,Incident Response Policy,Compliance,Noah Patel,v2.3,2025-12-12,retired
policy_10.md,Employees prohibited physical.,physical,prohibited,employees,Vendor Management Policy,Operations,Ethan Walker,v2.3,2024-12-07,active
policy_11.md,All Users must data retention.,data retention,must,all users,Remote Work Policy,Product,Daniel Kim,v3.2,2025-06-02,draft
policy_12.md,Employees prohibited api.,api,prohibited,employees,Mobile Device Policy,IT Security,Fatima Noor,v3.2,2025-10-09,retired
policy_13.md,Admins shall patch.,patch,shall,admins,Physical Security Policy,Legal,Priya Nair,v2.0,2025-08-12,draft
policy_14.md,Admins should logging. (Reference: NIST SP 800-53 Rev 4),logging,should,admins,Change Management Policy,Support,Daniel Kim,v2.0,2025-02-24,active
policy_15.md,Developers recommended network.,network,recommended,developers,Backup & Recovery Policy,Compliance,Noah Patel,v2.4,2025-04-01,draft
policy_16.md,Admins recommended privacy.,privacy,recommended,admins,Asset Management Policy,Operations,Ethan Walker,v3.4,2025-01-13,active
policy_17.md,Admins prohibited data retention.,data retention,prohibited,admins,Privacy Policy,HR,Liam Carter,v1.4,2026-01-31,retired
policy_18.md,All Users required mobile. (Reference: DES),mobile,required,all users,Third-Party Risk Policy,HR,Fatima Noor,v1.4,2024-11-06,retired
policy_19.md,All Users must monitoring.,monitoring,must,all users,User Provisioning Policy,Infrastructure,Daniel Kim,v1.5,2025-01-18,retired
policy_20.md,All Users should provisioning. (Reference: WEP),provisioning,should,all users,Monitoring Policy,Finance,Liam Carter,v3.2,2025-07-31,draft
policy_21.md,Developers should access.,access,should,developers,Logging Policy,Infrastructure,Priya Nair,v1.0,2025-05-02,retired
policy_22.md,Employees shall mobile.,mobile,shall,employees,Vulnerability Management Policy,Operations,Priya Nair,v2.1,2025-11-17,retired
policy_23.md,Employees must asset.,asset,must,employees,Patch Management Policy,Compliance,Ava Johnson,v2.3,2025-12-24,draft
policy_24.md,All Users should network.,network,should,all users,HR Security Policy,Compliance,Daniel Kim,v1.2,2025-11-04,retired
policy_25.md,Employees should data retention.,data retention,should,employees,Legal Compliance Policy,Operations,Alex Morgan,v3.5,2025-07-22,active
policy_26.md,Employees should patch.,patch,should,employees,Business Continuity Policy,Engineering,Ava Johnson,v3.0,2026-01-30,active
policy_27.md,All Users recommended endpoint.,endpoint,recommended,all users,Disaster Recovery Policy,Operations,Ethan Walker,v1.4,2025-10-03,draft
policy_28.md,Employees shall password.,password,shall,employees,Awareness Training Policy,Legal,Sophia Chen,v2.0,2025-08-03,retired
policy_29.md,Admins recommended data retention.,data retention,recommended,admins,Endpoint Security Policy,Compliance,Alex Morgan,v1.3,2025-07-26,active
policy_30.md,All Users should provisioning.,provisioning,should,all users,API Security Policy,Infrastructure,Alex Morgan,v1.2,2025-03-16,retired
policy_01.md,Developers required third-party.,third-party,required,developers,Password Policy,Product,Ava Johnson,v2.3,2023-03-28,active
policy_02.md,Admins prohibited encryption.,encryption,prohibited,admins,Cloud Security Policy,Sales,Priya Nair,v2.2,2022-07-15,active
policy_03.md,Developers required cloud. (Reference: GDPR 2016),cloud,required,developers,Data Classification Policy,Compliance,Ava Johnson,v3.4,2024-02-19,active
policy_04.md,Developers shall third-party.,third-party,shall,developers,Acceptable Use Policy,HR,Mia Gonzalez,v3.1,2024-03-20,active
policy_05.md,All Users should patch.,patch,should,all users,Data Retention Policy,Infrastructure,Ava Johnson,v3.5,2022-09-22,active
policy_06.md,Developers required backup.,backup,required,developers,Network Security Policy,Operations,Noah Patel,v3.0,2022-12-15,active
policy_07.md,Admins must mobile.,mobile,must,admins,Encryption Policy,Infrastructure,Daniel Kim,v3.3,2023-04-07,active
policy_08.md,Admins required physical.,physical,required,admins,Access Control Policy,Support,Alex Morgan,v3.2,2023-01-23,active
policy_09.md,Contractors must data retention.,data retention,must,contractors,Incident Response Policy,Compliance,Noah Patel,v2.3,2025-12-12,retired
policy_10.md,Developers shall encryption.,encryption,shall,developers,Vendor Management Policy,Operations,Ethan Walker,v2.3,2024-12-07,active
policy_11.md,Employees prohibited vendor.,vendor,prohibited,employees,Remote Work Policy,Product,Daniel Kim,v3.2,2025-06-02,draft
policy_12.md,Contractors must mobile.,mobile,must,contractors,Mobile Device Policy,IT Security,Fatima Noor,v3.2,2025-10-09,retired
policy_13.md,Developers should HR.,HR,should,developers,Physical Security Policy,Legal,Priya Nair,v2.0,2025-08-12,draft
policy_14.md,Admins required password.,password,required,admins,Change Management Policy,Support,Daniel Kim,v2.0,2025-02-24,active
policy_15.md,Developers must data retention.,data retention,must,developers,Backup & Recovery Policy,Compliance,Noah Patel,v2.4,2025-04-01,draft
policy_16.md,Developers required HR.,HR,required,developers,Asset Management Policy,Operations,Ethan Walker,v3.4,2025-01-13,active
policy_17.md,Developers shall backup.,backup,shall,developers,Privacy Policy,HR,Liam Carter,v1.4,2026-01-31,retired
policy_18.md,Employees required encryption.,encryption,required,employees,Third-Party Risk Policy,HR,Fatima Noor,v1.4,2024-11-06,retired
policy_19.md,All Users required provisioning.,provisioning,required,all users,User Provisioning Policy,Infrastructure,Daniel Kim,v1.5,2025-01-18,retired
policy_20.md,Developers required cloud.,cloud,required,developers,Monitoring Policy,Finance,Liam Carter,v3.2,2025-07-31,draft
policy_21.md,Contractors recommended change.,change,recommended,contractors,Logging Policy,Infrastructure,Priya Nair,v1.0,2025-05-02,retired
policy_22.md,All Users should backup. (Reference: GDPR 2016),backup,should,all users,Vulnerability Management Policy,Operations,Priya Nair,v2.1,2025-11-17,retired
policy_23.md,Contractors must vendor.,vendor,must,contractors,Patch Management Policy,Compliance,Ava Johnson,v2.3,2025-12-24,draft
policy_24.md,Contractors required logging. (Reference: NIST SP 800-53 Rev 4),logging,required,contractors,HR Security Policy,Compliance,Daniel Kim,v1.2,2025-11-04,retired
policy_25.md,All Users should physical.,physical,should,all users,Legal Compliance Policy,Operations,Alex Morgan,v3.5,2025-07-22,active
policy_26.md,All Users recommended vendor.,vendor,recommended,all users,Business Continuity Policy,Engineering,Ava Johnson,v3.0,2026-01-30,active
policy_27.md,Developers should cloud. (Reference: GDPR 2016),cloud,should,developers,Disaster Recovery Policy,Operations,Ethan Walker,v1.4,2025-10-03,draft
policy_28.md,All Users recommended vendor.,vendor,recommended,all users,Awareness Training Policy,Legal,Sophia Chen,v2.0,2025-08-03,retired
policy_29.md,Employees prohibited access.,access,prohibited,employees,Endpoint Security Policy,Compliance,Alex Morgan,v1.3,2025-07-26,active
policy_30.md,Admins recommended asset.,asset,recommended,admins,API Security Policy,Infrastructure,Alex Morgan,v1.2,2025-03-16,retired
policy_01.md,All Users required asset.,asset,required,all users,Password Policy,Product,Ava Johnson,v2.3,2023-03-28,active
policy_02.md,Developers recommended mobile.,mobile,recommended,developers,Cloud Security Policy,Sales,Priya Nair,v2.2,2022-07-15,active
policy_03.md,Contractors prohibited data retention.,data retention,prohibited,contractors,Data Classification Policy,Compliance,Ava Johnson,v3.4,2024-02-19,active
policy_04.md,All Users should api.,api,should,all users,Acceptable Use Policy,HR,Mia Gonzalez,v3.1,2024-03-20,active
policy_05.md,Admins must cloud.,cloud,must,admins,Data Retention Policy,Infrastructure,Ava Johnson,v3.5,2022-09-22,active
policy_06.md,Employees must logging.,logging,must,employees,Network Security Policy,Operations,Noah Patel,v3.0,2022-12-15,active
policy_07.md,All Users prohibited third-party.,third-party,prohibited,all users,Encryption Policy,Infrastructure,Daniel Kim,v3.3,2023-04-07,active
policy_08.md,Admins shall physical.,physical,shall,admins,Access Control Policy,Support,Alex Morgan,v3.2,2023-01-23,active
policy_09.md,Admins should physical. (Reference: NIST SP 800-53 Rev 4),physical,should,admins,Incident Response Policy,Compliance,Noah Patel,v2.3,2025-12-12,retired
policy_10.md,Employees required patch. (Reference: SOX 2002),patch,required,employees,Vendor Management Policy,Operations,Ethan Walker,v2.3,2024-12-07,active
policy_11.md,Developers prohibited mobile.,mobile,prohibited,developers,Remote Work Policy,Product,Daniel Kim,v3.2,2025-06-02,draft
policy_12.md,Developers prohibited physical.,physical,prohibited,developers,Mobile Device Policy,IT Security,Fatima Noor,v3.2,2025-10-09,retired
policy_13.md,Developers required asset.,asset,required,developers,Physical Security Policy,Legal,Priya Nair,v2.0,2025-08-12,draft
policy_14.md,All Users required physical.,physical,required,all users,Change Management Policy,Support,Daniel Kim,v2.0,2025-02-24,active
policy_15.md,Contractors recommended HR.,HR,recommended,contractors,Backup & Recovery Policy,Compliance,Noah Patel,v2.4,2025-04-01,draft
policy_16.md,All Users should change.,change,should,all users,Asset Management Policy,Operations,Ethan Walker,v3.4,2025-01-13,active
policy_17.md,Admins required access.,access,required,admins,Privacy Policy,HR,Liam Carter,v1.4,2026-01-31,retired
policy_18.md,Developers prohibited cloud. (Reference: FTP),cloud,prohibited,developers,Third-Party Risk Policy,HR,Fatima Noor,v1.4,2024-11-06,retired
policy_19.md,Admins prohibited provisioning.,provisioning,prohibited,admins,User Provisioning Policy,Infrastructure,Daniel Kim,v1.5,2025-01-18,retired
policy_20.md,Developers shall HR. (Reference: SHA-1),HR,shall,developers,Monitoring Policy,Finance,Liam Carter,v3.2,2025-07-31,draft
policy_21.md,Contractors recommended encryption.,encryption,recommended,contractors,Logging Policy,Infrastructure,Priya Nair,v1.0,2025-05-02,retired
policy_22.md,Contractors prohibited monitoring.,monitoring,prohibited,contractors,Vulnerability Management Policy,Operations,Priya Nair,v2.1,2025-11-17,retired
policy_23.md,Contractors required asset. (Reference: NIST SP 800-53 Rev 4),asset,required,contractors,Patch Management Policy,Compliance,Ava Johnson,v2.3,2025-12-24,draft
policy_24.md,Developers should cloud.,cloud,should,developers,HR Security Policy,Compliance,Daniel Kim,v1.2,2025-11-04,retired
policy_25.md,Developers shall network.,network,shall,developers,Legal Compliance Policy,Operations,Alex Morgan,v3.5,2025-07-22,active
policy_26.md,Contractors recommended mobile.,mobile,recommended,contractors,Business Continuity Policy,Engineering,Ava Johnson,v3.0,2026-01-30,active
policy_27.md,Contractors should backup. (Reference: SHA-1),backup,should,contractors,Disaster Recovery Policy,Operations,Ethan Walker,v1.4,2025-10-03,draft
policy_28.md,Contractors required monitoring.,monitoring,required,contractors,Awareness Training Policy,Legal,Sophia Chen,v2.0,2025-08-03,retired
policy_29.md,Contractors shall monitoring.,monitoring,shall,contractors,Endpoint Security Policy,Compliance,Alex Morgan,v1.3,2025-07-26,active
policy_30.md,Contractors must privacy.,privacy,must,contractors,API Security Policy,Infrastructure,Alex Morgan,v1.2,2025-03-16,retired
policy_01.md,Admins shall provisioning.,provisioning,shall,admins,Password Policy,Product,Ava Johnson,v2.3,2023-03-28,active
policy_02.md,Developers shall monitoring. (Reference: NIST SP 800-53 Rev 4),monitoring,shall,developers,Cloud Security Policy,Sales,Priya Nair,v2.2,2022-07-15,active
policy_03.md,Developers recommended monitoring.,monitoring,recommended,developers,Data Classification Policy,Compliance,Ava Johnson,v3.4,2024-02-19,active
policy_04.md,All Users required privacy.,privacy,required,all users,Acceptable Use Policy,HR,Mia Gonzalez,v3.1,2024-03-20,active
policy_05.md,Developers recommended mobile.,mobile,recommended,developers,Data Retention Policy,Infrastructure,Ava Johnson,v3.5,2022-09-22,active
policy_06.md,Contractors recommended asset.,asset,recommended,contractors,Network Security Policy,Operations,Noah Patel,v3.0,2022-12-15,active
policy_07.md,Developers recommended cloud.,cloud,recommended,developers,Encryption Policy,Infrastructure,Daniel Kim,v3.3,2023-04-07,active
policy_08.md,All Users shall mobile.,mobile,shall,all users,Access Control Policy,Support,Alex Morgan,v3.2,2023-01-23,active
policy_09.md,All Users should data retention.,data retention,should,all users,Incident Response Policy,Compliance,Noah Patel,v2.3,2025-12-12,retired
policy_10.md,Developers must password.,password,must,developers,Vendor Management Policy,Operations,Ethan Walker,v2.3,2024-12-07,active
policy_11.md,Contractors required cloud.,cloud,required,contractors,Remote Work Policy,Product,Daniel Kim,v3.2,2025-06-02,draft
policy_12.md,All Users must logging.,logging,must,all users,Mobile Device Policy,IT Security,Fatima Noor,v3.2,2025-10-09,retired
policy_13.md,Employees should change.,change,should,employees,Physical Security Policy,Legal,Priya Nair,v2.0,2025-08-12,draft
policy_14.md,All Users should provisioning.,provisioning,should,all users,Change Management Policy,Support,Daniel Kim,v2.0,2025-02-24,active
policy_15.md,Developers must network.,network,must,developers,Backup & Recovery Policy,Compliance,Noah Patel,v2.4,2025-04-01,draft
policy_16.md,Employees prohibited endpoint.,endpoint,prohibited,employees,Asset Management Policy,Operations,Ethan Walker,v3.4,2025-01-13,active
policy_17.md,Employees prohibited data retention.,data retention,prohibited,employees,Privacy Policy,HR,Liam Carter,v1.4,2026-01-31,retired
policy_18.md,Admins recommended access. (Reference: SOX 2002),access,recommended,admins,Third-Party Risk Policy,HR,Fatima Noor,v1.4,2024-11-06,retired
policy_19.md,Contractors shall access.,access,shall,contractors,User Provisioning Policy,Infrastructure,Daniel Kim,v1.5,2025-01-18,retired
policy_20.md,Contractors recommended HR.,HR,recommended,contractors,Monitoring Policy,Finance,Liam Carter,v3.2,2025-07-31,draft
policy_21.md,Admins shall monitoring.,monitoring,shall,admins,Logging Policy,Infrastructure,Priya Nair,v1.0,2025-05-02,retired
policy_22.md,Admins should password.,password,should,admins,Vulnerability Management Policy,Operations,Priya Nair,v2.1,2025-11-17,retired
policy_23.md,Developers should patch.,patch,should,developers,Patch Management Policy,Compliance,Ava Johnson,v2.3,2025-12-24,draft
policy_24.md,Developers must network.,network,must,developers,HR Security Policy,Compliance,Daniel Kim,v1.2,2025-11-04,retired
policy_25.md,All Users must encryption.,encryption,must,all users,Legal Compliance Policy,Operations,Alex Morgan,v3.5,2025-07-22,active
policy_26.md,Admins must backup. (Reference: SOX 2002),backup,must,admins,Business Continuity Policy,Engineering,Ava Johnson,v3.0,2026-01-30,active
policy_27.md,Developers should endpoint.,endpoint,should,developers,Disaster Recovery Policy,Operations,Ethan Walker,v1.4,2025-10-03,draft
policy_28.md,Contractors must access. (Reference: GDPR 2016),access,must,contractors,Awareness Training Policy,Legal,Sophia Chen,v2.0,2025-08-03,retired
policy_29.md,Contractors prohibited HR.,HR,prohibited,contractors,Endpoint Security Policy,Compliance,Alex Morgan,v1.3,2025-07-26,active
policy_30.md,All Users prohibited mobile.,mobile,prohibited,all users,API Security Policy,Infrastructure,Alex Morgan,v1.2,2025-03-16,retired
policy_01.md,All Users required HR.,HR,required,all users,Password Policy,Product,Ava Johnson,v2.3,2023-03-28,active
policy_02.md,Contractors recommended provisioning.,provisioning,recommended,contractors,Cloud Security Policy,Sales,Priya Nair,v2.2,2022-07-15,active
policy_03.md,Employees prohibited mobile.,mobile,prohibited,employees,Data Classification Policy,Compliance,Ava Johnson,v3.4,2024-02-19,active
policy_04.md,Employees shall change.,change,shall,employees,Acceptable Use Policy,HR,Mia Gonzalez,v3.1,2024-03-20,active
policy_05.md,Admins prohibited privacy.,privacy,prohibited,admins,Data Retention Policy,Infrastructure,Ava Johnson,v3.5,2022-09-22,active
policy_06.md,Employees shall vendor.,vendor,shall,employees,Network Security Policy,Operations,Noah Patel,v3.0,2022-12-15,active
policy_07.md,Developers required endpoint.,endpoint,required,developers,Encryption Policy,Infrastructure,Daniel Kim,v3.3,2023-04-07,active
policy_08.md,All Users should privacy.,privacy,should,all users,Access Control Policy,Support,Alex Morgan,v3.2,2023-01-23,active
policy_09.md,Contractors must HR.,HR,must,contractors,Incident Response Policy,Compliance,Noah Patel,v2.3,2025-12-12,retired
policy_10.md,All Users recommended cloud.,cloud,recommended,all users,Vendor Management Policy,Operations,Ethan Walker,v2.3,2024-12-07,active
policy_11.md,All Users must monitoring.,monitoring,must,all users,Remote Work Policy,Product,Daniel Kim,v3.2,2025-06-02,draft
policy_12.md,Admins shall provisioning.,provisioning,shall,admins,Mobile Device Policy,IT Security,Fatima Noor,v3.2,2025-10-09,retired
policy_13.md,Employees should change.,change,should,employees,Physical Security Policy,Legal,Priya Nair,v2.0,2025-08-12,draft
policy_14.md,All Users must mobile.,mobile,must,all users,Change Management Policy,Support,Daniel Kim,v2.0,2025-02-24,active
policy_15.md,Admins shall physical.,physical,shall,admins,Backup & Recovery Policy,Compliance,Noah Patel,v2.4,2025-04-01,draft
policy_16.md,Employees required HR.,HR,required,employees,Asset Management Policy,Operations,Ethan Walker,v3.4,2025-01-13,active
policy_17.md,Developers should backup.,backup,should,developers,Privacy Policy,HR,Liam Carter,v1.4,2026-01-31,retired
policy_18.md,All Users prohibited access. (Reference: TLS 1.0),access,prohibited,all users,Third-Party Risk Policy,HR,Fatima Noor,v1.4,2024-11-06,retired
policy_19.md,Employees shall change. (Reference: FTP),change,shall,employees,User Provisioning Policy,Infrastructure,Daniel Kim,v1.5,2025-01-18,retired
policy_20.md,Contractors required HR.,HR,required,contractors,Monitoring Policy,Finance,Liam Carter,v3.2,2025-07-31,draft
